restaurant id,category id,item id,category,item,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
3000,130,690,Other Food,Volpi™ Pepperoni & Tomato Savory Foldover,,270,,14.0,,,,,,,,,27,,2,,,10.0,,,,
3000,130,691,Other Food,Strawberries & Jam Sandwich,,600,,25.0,,,,,,,,,80,,10,,,19.0,,,,
3000,130,692,Other Food,Burrata & Basil Pesto Small Sandwich,,300,,14.0,,,,,,,,,34,,2,,,11.0,,,,
3000,130,693,Other Food,Cage-Free Eggs & Seasoned Grains Side Salad,,360,,18.0,,,,,,,,,33,,3,,,17.0,,,,
3000,130,694,Other Food,Cauliflower Tabbouleh Side Salad,,130,,12.0,,,,,,,,,7,,3,,,2.0,,,,
3000,130,695,Other Food,Cubano Sandwich,,430,,23.0,,,,,,,,,34,,3,,,21.0,,,,
3000,130,696,Other Food,Farmers' Market Protein Box,,470,,29.0,,,,,,,,,29,,4,,,21.0,,,,
3000,130,697,Other Food,Garden Greens & Shaved Parmesan Side Salad,,170,,13.0,,,,,,,,,9,,2,,,7.0,,,,
3000,130,698,Other Food,Green Goddess Avocado Salad,,620,,37.0,,,,,,,,,62,,10,,,13.0,,,,
3000,130,699,Other Food,Herbed Chicken & Fig Spread Small Sandwich,,300,,8.0,,,,,,,,,43,,2,,,19.0,,,,
3000,130,700,Other Food,Honey BBQ Sriracha Chicken Sandwich,,360,,7.0,,,,,,,,,52,,3,,,22.0,,,,
3000,130,701,Other Food,Roasted Carrot & Kale Side Salad,,440,,26.0,,,,,,,,,44,,7,,,10.0,,,,
3000,130,702,Other Food,Roasted Turkey & Dill Havarti Sandwich,,600,,32.0,,,,,,,,,47,,6,,,32.0,,,,
3000,130,703,Other Food,Seared Steak & Cheddar Sandwich,,530,,29.0,,,,,,,,,44,,2,,,23.0,,,,
3000,130,704,Other Food,Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,,350,,18.0,,,,,,,,,31,,1,,,16.0,,,,
3000,130,705,Other Food,Smoked Mozzarella & Roasted Pepper Sandwich,,500,,28.0,,,,,,,,,46,,4,,,18.0,,,,
3000,130,706,Other Food,Turkey & Fire-Roasted Corn Salad,,560,,29.0,,,,,,,,,53,,7,,,24.0,,,,
3000,130,707,Other Food,Za'atar Chicken & Lemon Tahini Salad,,570,,23.0,,,,,,,,,67,,11,,,27.0,,,,
3000,130,708,Other Food,BBQ Chicken Protein Box,,420,,16.0,,,,,,,,,49,,5,,,22.0,,,,
3000,130,709,Other Food,Cheese & Fruit Protein Box,,450,,27.0,,,,,,,,,34,,4,,,20.0,,,,
3000,130,710,Other Food,Chicken Wrap Protein Box,,460,,22.0,,,,,,,,,45,,4,,,20.0,,,,
3000,100,711,Breakfast,Eggs & Cheese Protein Box,,460,,24.0,,,,,,,,,40,,5,,,23.0,,,,
3000,130,712,Other Food,PB&J Protein Box,,520,,26.0,,,,,,,,,53,,5,,,20.0,,,,
